23892,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -1.38,	 0.0,	 9.564,	 0.0,	 -0.229,	 -0.0,	 2.036,	 0.0	 
23893,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 1.786,	 -4.966,	 3.605,	 9.093,	 0.248,	 -0.826,	 1.045,	 2.047	 
23893,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.575,	 1.461,	 -0.602,	 9.352,	 -0.012,	 0.066,	 0.132,	 2.539	 
23893,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.238,	 -0.609,	 0.421,	 9.741,	 -0.021,	 0.024,	 0.24,	 2.772	 
23893,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.069,	 0.247,	 -0.014,	 9.78,	 0.015,	 -0.053,	 0.204,	 3.057	 
24492,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.472,	 -0.0,	 1.501,	 10.0,	 -0.143,	 0.0,	 0.778,	 3.251	 
24492,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.892,	 -1.7,	 -0.54,	 10.984,	 0.079,	 -0.516,	 0.159,	 3.938	 
24492,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.526,	 1.512,	 -0.766,	 9.43,	 0.014,	 -0.23,	 -0.736,	 3.523	 
24492,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.11,	 -0.382,	 0.591,	 9.78,	 0.211,	 -0.181,	 -1.23,	 2.332	 
24492,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.004,	 0.014,	 0.15,	 10.13,	 -0.161,	 0.578,	 -0.754,	 0.959	 
25084,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.069,	 -0.0,	 0.315,	 10.324,	 -0.038,	 0.0,	 0.519,	 0.609	 
25084,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.075,	 -0.248,	 0.017,	 10.583,	 0.094,	 -0.138,	 0.354,	 1.166	 
25084,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.033,	 0.021,	 -0.255,	 10.376,	 -0.03,	 0.2,	 0.429,	 1.554	 
25084,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.048,	 0.138,	 -0.065,	 10.155,	 -0.079,	 0.092,	 0.78,	 2.306	 
25084,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.01,	 -0.035,	 0.06,	 10.194,	 0.053,	 -0.192,	 0.661,	 3.238	 
25684,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.054,	 0.0,	 0.273,	 10.233,	 -0.012,	 0.0,	 0.513,	 3.847	 
25684,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.069,	 -0.196,	 0.038,	 10.466,	 0.013,	 -0.042,	 0.463,	 4.443	 
25684,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.036,	 0.054,	 -0.132,	 10.35,	 -0.025,	 0.004,	 0.419,	 4.961	 
